date,turkey_total_generation_in_gwh,population,imports_in_gwh,exports_in_gwh,gross_demand_in_gwh,natural_gas_price_usd_Mmbtu,pib_m_dollar,ratio_dollar_tl,coal_elect_prod_gwh,ng_elect_prod_gwh,thermique_elect_prod_gwh,hidro_elect_prod_gwh,geothermal_elect_prod_gwh,wind_elect_prod_gwh,solar_elect_prod_gwh,geothermal_solar_wind_elect_prod_gwh,roll_mean,roll_std
2012-06-01,19900.951,,426.532,226.892,20100.591,2824,212.7610757543597,1.8097,5678.1,8495.5,14283.680000000002,5020.31,63.2,533.8,0.0,597.0,19947.411916666668,1059.4451450086895
2012-07-01,22625.296,,597.066,342.411,22879.950999999997,3209,238.28598029369752,1.7951,6548.2,10344.7,17089.4,4809.64,64.67,661.54,0.0,726.2099999999999,20098.237666666668,1328.4704279400405
2012-08-01,21278.648,,522.352,261.687,21539.313,2799,235.20684220016298,1.8186,6169.6,9724.0,16117.960000000001,4414.2,64.4,682.05,0.0,746.4499999999999,20170.388,1384.8683370043293
2012-09-01,19543.58,,534.976,215.549,19863.007,3320,238.11353998286373,1.7964,5710.3,10066.5,15902.51,3088.2,64.8,488.04,0.0,552.84,20243.46325,1339.0749181214887
2012-10-01,17826.328,,509.395,118.276,18217.447,3692,241.3919266448465,1.7936,5339.46,8876.4,14340.130000000001,3012.4,78.88,394.85,0.0,473.73,20183.685,1416.5759752523147
2012-11-01,18740.204,,596.42,92.907,19243.717,3561,242.24280178492512,1.7873,5577.0,9199.2,14897.540000000003,3165.85,95.78,581.1,0.0,676.88,20191.776833333333,1410.3772014221838
2012-12-01,20553.895,,741.21,136.538,21158.567,3351,242.73171476716752,1.7837,5903.93,9681.1,15712.33,4214.23,104.6,522.78,0.0,627.38,20197.488583333336,1414.4784623539592
2013-01-01,20784.343,,716.193,101.128,21399.408,3339,220.96813649854428,1.7589,5785.74,9057.6,15028.38,5028.7,105.26,622.0,0.0,727.26,20196.928583333334,1413.9576889174143
2013-02-01,18319.101,,627.824,72.998,18873.927,3486,216.10278303435615,1.7985,4926.639999999999,7434.3,12492.279999999999,5228.7,95.6,502.5,0.0,598.1,20103.525333333335,1464.6381272150206
2013-03-01,19883.53,,574.699,11.573,20446.656,4024,214.84845510629606,1.809,5113.35,7635.3,12893.600000000002,6252.3,103.4,634.2,0.0,737.6,20077.58983333333,1454.7195132922027
2013-04-01,18606.775,,507.125,3.516,19110.384000000002,4343,248.0945223268555,1.793,3867.6,7522.9,11548.24,6463.8,90.0,504.8,0.0,594.8,20148.885583333333,1376.106246554234
2013-05-01,19127.689,,455.393,1.51,19581.572,3984,237.16862792282572,1.8756,4902.1,8116.6,13172.1,5438.65,97.0,419.95,0.0,516.95,20201.211666666666,1337.9351223646215
2013-06-01,19699.236,,449.823,51.597,20097.462,3565,230.62706269807754,1.9288,5435.200000000001,9084.8,14709.14,4373.3,86.9,529.9,0.0,616.8,20200.950916666665,1337.9568197649671
2013-07-01,22218.289,,584.261,110.713,22691.837,3446,255.66197121986983,1.9353,5827.34,10065.44,16143.920000000002,4906.8,86.74,1080.8,0.0,1167.54,20185.27475,1304.3959275653149
2013-08-01,21291.4,,625.726,149.983,21767.143,3581,242.50483404490225,2.0403,5512.3,9316.5,15036.24,5156.7,92.34,1006.1,0.0,1098.44,20204.260583333333,1327.3520506435991
2013-09-01,19948.78,,582.386,111.294,20419.871999999996,3560,245.11176701764293,2.0186,5450.139999999999,9827.54,15490.02,3867.2,124.6,467.0,0.0,591.6,20250.665999999997,1324.0671107796663
2013-10-01,18621.218,,701.315,201.909,19120.624,3581,248.07132684674647,1.996,5341.64,8633.8,14190.58,3719.06,152.8,558.8,0.0,711.5999999999999,20325.93075,1219.527810299202
2013-11-01,19690.04,,758.211,190.03,20258.221,3954,245.14821684627486,2.0198,5395.2,9961.0,15587.480000000001,3375.0,154.8,572.75,0.0,727.55,20410.47275,1171.9198969450579
2013-12-01,21963.549,,846.45,220.476,22589.523,4230,230.75327075501258,2.1458,6228.76,8460.54,15520.48,5610.3,174.1,658.65,0.0,832.75,20529.719083333333,1318.5852412337313
2014-01-01,21558.2,,760.7,279.8,22039.100000000002,4943,200.84765250925528,2.2607,6483.25,10561.64,17273.94,3523.1,189.8,570.42,0.9,761.1199999999999,20583.02675,1368.911607290224
2014-02-01,19351.2,,606.6,208.5,19749.3,4609,205.52043091824262,2.2093,5753.5,8660.3,14940.15,3677.6,173.7,559.2,0.5,733.4000000000001,20655.9745,1290.6422193398607
2014-03-01,20630.9,,637.2,225.6,21042.500000000004,4371,212.10645491085785,2.1407,6108.7,9472.3,15843.299999999997,3824.04,200.24,762.7,0.6,963.5400000000001,20705.628166666665,1293.3161256705541
2014-04-01,19853.6,,635.9,171.5,20318.0,4815,232.0209965658796,2.1125,5540.4,9451.5,15271.2,3892.84,188.6,499.9,1.1,689.6,20806.26283333333,1201.637376128637
2014-05-01,20214.6,,620.7,194.5,20640.8,4542,233.7248367962523,2.0971,6296.3,9649.14,16217.84,3196.65,171.05,627.7,1.32,800.0700000000002,20894.531833333334,1140.863689429058
2014-06-01,20332.1,,510.3,120.8,20721.6,4461,231.29836026870873,2.1191,6240.38,9555.8,15997.88,3529.5,183.26,619.9,1.6,804.76,20946.543333333335,1115.1596821090661
2014-07-01,22820.9,,747.9,191.4,23377.4,3841,257.4227635025064,2.1418,6610.48,10791.76,17682.38,4068.64,183.14,884.84,1.94,1069.92,21003.673583333333,1224.865114948945
